Squad,Country,MP,W,D,L,GF,GA,GD,PPM,Head-to-Head
Schalke 04,de GER,4,1,1,2,6,9,-3,1.0,Head-to-Head
Deportivo La Coruña,es ESP,4,1,0,3,6,7,-1,0.75,Head-to-Head
Galatasaray,tr TUR,3,2,1,0,8,2,6,2.33,Head-to-Head
Monaco,fr FRA,3,2,0,1,6,3,3,2.0,Head-to-Head
Internazionale,it ITA,3,1,0,2,5,5,0,1.0,Head-to-Head
Udinese,it ITA,2,2,0,0,3,1,2,3.0,Head-to-Head
Molde,no NOR,2,2,0,0,7,1,6,3.0,Head-to-Head
Zürich,ch SUI,2,2,0,0,3,1,2,3.0,Head-to-Head
Hamburger SV,de GER,2,2,0,0,5,2,3,3.0,Head-to-Head
Montpellier,fr FRA,2,2,0,0,4,1,3,3.0,Head-to-Head
Barnsley,eng ENG,2,2,0,0,7,0,7,3.0,Head-to-Head
Qarabağ,az AZE,2,2,0,0,4,0,4,3.0,Head-to-Head
Ludogorets Razgrad,bg BUL,2,2,0,0,9,2,7,3.0,Head-to-Head
Werder Bremen,de GER,2,2,0,0,6,2,4,3.0,Head-to-Head
Rapid Wien,at AUT,2,2,0,0,6,2,4,3.0,Head-to-Head
Vorskla Poltava,ua UKR,2,2,0,0,7,2,5,3.0,Head-to-Head
Thun,ch SUI,2,2,0,0,3,1,2,3.0,Head-to-Head
Twente,nl NED,2,2,0,0,6,0,6,3.0,Head-to-Head
FCSB,ro ROU,2,2,0,0,3,1,2,3.0,Head-to-Head
AIK Stockholm,se SWE,2,2,0,0,6,3,3,3.0,Head-to-Head
Celtic,sct SCO,2,2,0,0,5,1,4,3.0,Head-to-Head
Basel,ch SUI,2,2,0,0,6,1,5,3.0,Head-to-Head
Bodø/Glimt,no NOR,2,2,0,0,4,0,4,3.0,Head-to-Head
Partizan,rs SRB,2,2,0,0,6,2,4,3.0,Head-to-Head
Dundalk FC,ie IRL,2,2,0,0,7,2,5,3.0,Head-to-Head
Celta Vigo,es ESP,2,2,0,0,5,2,3,3.0,Head-to-Head
Anderlecht,be BEL,2,1,1,0,5,4,1,2.0,Head-to-Head
Red Star,rs SRB,2,1,1,0,1,0,1,2.0,Head-to-Head
Beşiktaş,tr TUR,2,1,1,0,1,0,1,2.0,Head-to-Head
Swindon Town,eng ENG,2,1,1,0,5,1,4,2.0,Head-to-Head
AZ Alkmaar,nl NED,2,1,1,0,5,2,3,2.0,Head-to-Head
Vitória Guimarães,pt POR,2,1,1,0,4,3,1,2.0,Head-to-Head
Leyton Orient,eng ENG,2,2,0,0,4,1,3,2.0,Head-to-Head
Lokomotiv Moscow,ru RUS,2,1,1,0,2,0,2,2.0,Head-to-Head
Lazio,it ITA,2,1,1,0,3,1,2,2.0,Head-to-Head
Rosenborg,no NOR,2,1,1,0,6,2,4,2.0,Head-to-Head
Leverkusen,de GER,2,1,1,0,5,2,3,2.0,Head-to-Head
Lyon,fr FRA,2,1,1,0,2,1,1,2.0,Head-to-Head
Nantes,fr FRA,2,1,1,0,6,3,3,2.0,Head-to-Head
Mallorca,es ESP,2,1,0,1,3,2,1,1.5,Head-to-Head
Östersund,se SWE,2,1,0,1,4,2,2,1.5,Head-to-Head
